Country,TotalCases,TotalDeaths,Recovered,ActiveCases,SeriousCases,CasesPerMil,Population,MedianAge
China,80967,3248,71150,6569,2136,56.0,1439323776,38
Italy,41035,3405,4440,33190,2498,679.0,60461826,47
Spain,19980,1002,1588,17390,939,427.0,46754778,45
Iran,19644,1433,5979,12232,0,234.0,83992949,32
Germany,16626,44,115,16467,2,198.0,83783942,46
United States of America,14366,217,125,14024,64,43.0,331002651,38
France,10995,372,1295,9328,1122,168.0,65273511,42
South Korea,8652,94,2233,6325,59,169.0,51269185,44
Switzerland,4898,43,15,4840,0,566.0,8654622,43
United Kingdom,3269,144,65,3060,20,48.0,67886011,40
Netherlands,2460,76,2,2382,45,144.0,17134872,43
Belgium,2257,37,204,2016,164,195.0,11589623,42
Austria,2203,6,9,2188,13,245.0,9006398,43
Norway,1802,7,1,1794,27,332.0,5421241,40
Sweden,1456,11,16,1429,21,144.0,10099265,41
Denmark,1226,9,1,1216,30,212.0,5792202,42
Malaysia,1030,2,87,941,26,32.0,32365999,30
Japan,963,33,215,715,49,8.0,126476461,48
Australia,876,7,46,823,2,34.0,25499884,38
Canada,873,12,11,850,1,23.0,37742154,41
Portugal,786,5,4,777,20,77.0,10196709,46
Czechia,774,0,3,771,6,72.0,0,0
Diamond Princess,712,7,527,178,14,0.0,0,0
Israel,705,0,15,690,10,81.0,8655535,30
Brazil,647,7,2,638,18,3.0,212559417,33
Ireland,557,3,5,549,6,113.0,4937786,38
Luxembourg,484,4,6,474,1,773.0,625978,40
Greece,464,6,19,439,16,45.0,10423054,46
Qatar,460,0,10,450,6,160.0,2881053,32
Pakistan,456,3,13,440,0,2.0,220892340,23
Finland,430,0,10,420,2,78.0,5540720,43
Iceland,409,0,5,404,1,1199.0,341243,37
Singapore,385,0,124,261,14,66.0,5850342,42
Poland,378,6,13,359,3,10.0,37846611,42
Indonesia,369,32,17,320,0,1.0,273523615,30
Turkey,359,4,0,355,0,4.0,84339067,32
Chile,342,0,0,342,6,18.0,19116201,35
Thailand,322,1,42,279,1,5.0,69799978,40
Slovenia,319,1,0,318,6,153.0,2078938,45
Romania,308,0,31,277,11,16.0,19237691,43
Bahrain,284,1,110,173,4,167.0,1701575,32
Estonia,283,0,1,282,1,213.0,1326535,42
Saudi Arabia,274,0,8,266,0,8.0,34813871,32
Ecuador,260,4,1,255,2,15.0,17643054,28
Egypt,256,7,42,207,0,3.0,102334404,25
Hong Kong,256,4,98,154,4,34.0,7496981,45
Peru,234,3,1,230,7,7.0,32971854,31
Philippines,230,18,8,204,1,2.0,109581078,26
India,206,5,20,181,0,0.1,1380004385,28
South Africa,202,0,0,202,0,3.0,59308690,28
Russia,199,1,9,189,0,1.0,145934462,40
Iraq,192,13,49,130,0,5.0,40222493,21
Mexico,164,1,4,159,1,1.0,128932753,29
Lebanon,163,4,4,155,3,24.0,6825445,30
Kuwait,159,0,22,137,5,37.0,4270571,37
San Marino,144,14,4,126,12,4244.0,33931,0
United Arab Emirates,140,0,31,109,2,14.0,9890402,33
Panama,137,1,1,135,7,32.0,4314767,30
Armenia,136,0,1,135,2,46.0,2963243,35
Taiwan,135,2,28,105,0,6.0,23816775,42
Argentina,128,3,3,122,0,3.0,45195774,32
Colombia,128,0,1,127,0,3.0,50882891,31
Slovakia,124,0,0,124,2,23.0,5459642,41
Serbia,118,0,2,116,4,14.0,8737371,42
Croatia,113,1,5,107,0,28.0,4105267,44
Bulgaria,112,3,1,108,0,16.0,6948445,45
